Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Order Date,Ship Date
Australia and Oceania,Tuvalu,Baby Food,Offline,H,669165933,9925,255.28,159.42,2533654,1582243.5,951410.5,28-05-2010,27-06-2010
Central America and the Caribbean,Grenada,Cereal,Online,C,963881480,2804,205.7,117.11,576782.8,328376.44,248406.36,22-08-2012,15-09-2012
Europe,Russia,Office Supplies,Offline,L,341417157,1779,651.21,524.96,1158502.59,933903.84,224598.75,02-05-2014,05-08-2014
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,514321792,8102,9.33,6.92,75591.66,56065.84,19525.82,20-06-2014,07-05-2014
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,115456712,5062,651.21,524.96,3296425.02,2657347.52,639077.5,01-02-2013,02-06-2013
Australia and Oceania,Solomon Islands,Baby Food,Online,C,547995746,2974,255.28,159.42,759202.72,474115.08,285087.64,04-02-2015,21-02-2015
Sub-Saharan Africa,Angola,Household,Offline,M,135425221,4187,668.27,502.54,2798046.49,2104134.98,693911.51,23-04-2011,27-04-2011
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,871543967,8082,154.06,90.93,1245112.92,734896.26,510216.66,17-07-2012,27-07-2012
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,770463311,6070,81.73,56.67,496101.1,343986.9,152114.2,14-07-2015,25-08-2015
Sub-Saharan Africa,Senegal,Cereal,Online,H,616607081,6593,205.7,117.11,1356180.1,772106.23,584073.87,18-04-2014,30-05-2014
Asia,Kyrgyzstan,Vegetables,Online,H,814711606,124,154.06,90.93,19103.44,11275.32,7828.12,24-06-2011,07-12-2011
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,939825713,4168,109.28,35.84,455479.04,149381.12,306097.92,02-08-2014,19-08-2014
Asia,Bangladesh,Clothes,Online,L,187310731,8263,109.28,35.84,902980.64,296145.92,606834.72,13-01-2017,03-01-2017
Central America and the Caribbean,Honduras,Household,Offline,H,522840487,8974,668.27,502.54,5997054.98,4509793.96,1487261.02,08-02-2017,13-02-2017
Asia,Mongolia,Personal Care,Offline,C,832401311,4901,81.73,56.67,400558.73,277739.67,122819.06,19-02-2014,23-02-2014
Europe,Bulgaria,Clothes,Online,M,972292029,1673,109.28,35.84,182825.44,59960.32,122865.12,23-04-2012,06-03-2012
Asia,Sri Lanka,Cosmetics,Offline,M,419123971,6952,437.2,263.33,3039414.4,1830670.16,1208744.24,19-11-2016,18-12-2016
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,519820964,5430,47.45,31.79,257653.5,172619.7,85033.8,01-04-2015,18-04-2015
Asia,Turkmenistan,Household,Offline,L,441619336,3830,668.27,502.54,2559474.1,1924728.2,634745.9,30-12-2010,20-01-2011
Australia and Oceania,East Timor,Meat,Online,L,322067916,5908,421.89,364.69,2492526.12,2154588.52,337937.6,31-07-2012,09-11-2012
Europe,Norway,Baby Food,Online,L,819028031,7450,255.28,159.42,1901836,1187679,714157,14-05-2014,28-06-2014
Europe,Portugal,Baby Food,Online,H,860673511,1273,255.28,159.42,324971.44,202941.66,122029.78,31-07-2015,09-03-2015
Central America and the Caribbean,Honduras,Snacks,Online,L,795490682,2225,152.58,97.44,339490.5,216804,122686.5,30-06-2016,26-07-2016
Australia and Oceania,New Zealand,Fruits,Online,H,142278373,2187,9.33,6.92,20404.71,15134.04,5270.67,08-09-2014,10-04-2014
Europe,Moldova ,Personal Care,Online,L,740147912,5070,81.73,56.67,414371.1,287316.9,127054.2,07-05-2016,05-10-2016
Europe,France,Cosmetics,Online,H,898523128,1815,437.2,263.33,793518,477943.95,315574.05,22-05-2017,06-05-2017
Australia and Oceania,Kiribati,Fruits,Online,M,347140347,5398,9.33,6.92,50363.34,37354.16,13009.18,13-10-2014,11-10-2014
Sub-Saharan Africa,Mali,Fruits,Online,L,686048400,5822,9.33,6.92,54319.26,40288.24,14031.02,07-05-2010,05-10-2010
Europe,Norway,Beverages,Offline,C,435608613,5124,47.45,31.79,243133.8,162891.96,80241.84,18-07-2014,30-07-2014
Sub-Saharan Africa,The Gambia,Household,Offline,L,886494815,2370,668.27,502.54,1583799.9,1191019.8,392780.1,26-05-2012,06-09-2012
Europe,Switzerland,Cosmetics,Offline,M,249693334,8661,437.2,263.33,3786589.2,2280701.13,1505888.07,17-09-2012,20-10-2012
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,406502997,2125,81.73,56.67,173676.25,120423.75,53252.5,29-12-2013,28-01-2014
Australia and Oceania,Australia,Office Supplies,Online,C,158535134,2924,651.21,524.96,1904138.04,1534983.04,369155,27-10-2015,25-11-2015
Asia,Myanmar,Household,Offline,H,177713572,8250,668.27,502.54,5513227.5,4145955,1367272.5,16-01-2015,03-01-2015
Sub-Saharan Africa,Djibouti,Snacks,Online,M,756274640,7327,152.58,97.44,1117953.66,713942.88,404010.78,25-02-2017,25-02-2017
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,456767165,6409,81.73,56.67,523807.57,363198.03,160609.54,08-05-2017,21-05-2017
Middle East and North Africa,Syria,Fruits,Online,L,162052476,3784,9.33,6.92,35304.72,26185.28,9119.44,22-11-2011,12-03-2011
Sub-Saharan Africa,The Gambia,Meat,Online,M,825304400,4767,421.89,364.69,2011149.63,1738477.23,272672.4,14-01-2017,23-01-2017
Asia,Brunei,Office Supplies,Online,L,320009267,6708,651.21,524.96,4368316.68,3521431.68,846885,01-04-2012,05-08-2012
Europe,Bulgaria,Office Supplies,Online,M,189965903,3987,651.21,524.96,2596374.27,2093015.52,503358.75,16-02-2012,28-02-2012
Sub-Saharan Africa,Niger,Personal Care,Online,H,699285638,3015,81.73,56.67,246415.95,170860.05,75555.9,11-03-2017,28-03-2017
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,382392299,7234,437.2,263.33,3162704.8,1904929.22,1257775.58,06-02-2010,25-02-2010
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,994022214,2117,205.7,117.11,435466.9,247921.87,187545.03,07-06-2012,06-08-2012
Europe,Slovakia,Vegetables,Online,H,759224212,171,154.06,90.93,26344.26,15549.03,10795.23,06-10-2012,11-10-2012
Asia,Myanmar,Clothes,Online,H,223359620,5930,109.28,35.84,648030.4,212531.2,435499.2,14-11-2015,18-11-2015
Sub-Saharan Africa,Comoros,Cereal,Offline,H,902102267,962,205.7,117.11,197883.4,112659.82,85223.58,29-03-2016,29-04-2016
Europe,Iceland,Cosmetics,Online,C,331438481,8867,437.2,263.33,3876652.4,2334947.11,1541705.29,31-12-2016,31-12-2016
Europe,Switzerland,Personal Care,Online,M,617667090,273,81.73,56.67,22312.29,15470.91,6841.38,23-12-2010,31-01-2011
Europe,Macedonia,Clothes,Offline,C,787399423,7842,109.28,35.84,856973.76,281057.28,575916.48,14-10-2014,14-11-2014
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,837559306,1266,651.21,524.96,824431.86,664599.36,159832.5,11-01-2012,13-01-2012
Europe,Albania,Clothes,Online,C,385383069,2269,109.28,35.84,247956.32,81320.96,166635.36,02-02-2010,18-03-2010
Sub-Saharan Africa,Lesotho,Fruits,Online,L,918419539,9606,9.33,6.92,89623.98,66473.52,23150.46,18-08-2013,18-09-2013
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,844530045,4063,205.7,117.11,835759.1,475817.93,359941.17,25-03-2013,28-03-2013
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,441888415,3457,651.21,524.96,2251232.97,1814786.72,436446.25,26-11-2011,01-07-2012
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,508980977,7637,9.33,6.92,71253.21,52848.04,18405.17,17-09-2013,24-10-2013
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,114606559,3482,109.28,35.84,380512.96,124794.88,255718.08,08-06-2012,27-06-2012
Australia and Oceania,Fiji,Clothes,Offline,C,647876489,9905,109.28,35.84,1082418.4,354995.2,727423.2,30-06-2010,08-01-2010
Europe,Austria,Cosmetics,Offline,H,868214595,2847,437.2,263.33,1244708.4,749700.51,495007.89,23-02-2015,03-02-2015
Europe,United Kingdom,Household,Online,L,955357205,282,668.27,502.54,188452.14,141716.28,46735.86,05-01-2012,14-02-2012
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,259353148,7215,437.2,263.33,3154398,1899925.95,1254472.05,07-04-2014,19-04-2014
Australia and Oceania,Australia,Cereal,Offline,H,450563752,682,205.7,117.11,140287.4,79869.02,60418.38,09-06-2013,07-02-2013
Europe,San Marino,Baby Food,Online,L,569662845,4750,255.28,159.42,1212580,757245,455335,26-06-2013,07-01-2013
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,177636754,5518,651.21,524.96,3593376.78,2896729.28,696647.5,07-11-2011,15-11-2011
Middle East and North Africa,Libya,Clothes,Offline,H,705784308,6116,109.28,35.84,668356.48,219197.44,449159.04,30-10-2010,17-11-2010
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,505716836,1705,437.2,263.33,745426,448977.65,296448.35,13-10-2013,16-11-2013
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,699358165,4477,437.2,263.33,1957344.4,1178928.41,778415.99,11-10-2013,25-11-2013
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,228944623,8656,81.73,56.67,707454.88,490535.52,216919.36,08-07-2012,07-09-2012
Central America and the Caribbean,Belize,Clothes,Offline,M,807025039,5498,109.28,35.84,600821.44,197048.32,403773.12,25-07-2016,09-07-2016
Europe,Lithuania,Office Supplies,Offline,H,166460740,8287,651.21,524.96,5396577.27,4350343.52,1046233.75,24-10-2010,17-11-2010
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,610425555,7342,109.28,35.84,802333.76,263137.28,539196.48,25-04-2015,28-05-2015
Asia,Turkmenistan,Office Supplies,Online,M,462405812,5010,651.21,524.96,3262562.1,2630049.6,632512.5,23-04-2013,20-05-2013
Middle East and North Africa,Libya,Fruits,Online,L,816200339,673,9.33,6.92,6279.09,4657.16,1621.93,14-08-2015,30-09-2015
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,585920464,5741,47.45,31.79,272410.45,182506.39,89904.06,26-05-2011,15-07-2011
Sub-Saharan Africa,Djibouti,Cereal,Online,H,555990016,8656,205.7,117.11,1780539.2,1013704.16,766835.04,20-05-2017,17-06-2017
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,231145322,9892,437.2,263.33,4324782.4,2604860.36,1719922.04,05-07-2013,16-08-2013
North America,Mexico,Household,Offline,C,986435210,6954,668.27,502.54,4647149.58,3494663.16,1152486.42,06-11-2014,12-12-2014
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,217221009,9379,47.45,31.79,445033.55,298158.41,146875.14,28-10-2014,15-11-2014
Asia,Laos,Vegetables,Offline,C,789176547,3732,154.06,90.93,574951.92,339350.76,235601.16,15-09-2011,23-10-2011
Europe,Monaco,Baby Food,Offline,H,688288152,8614,255.28,159.42,2198981.92,1373243.88,825738.04,29-05-2012,06-02-2012
Australia and Oceania,Samoa ,Cosmetics,Online,H,670854651,9654,437.2,263.33,4220728.8,2542187.82,1678540.98,20-07-2013,08-07-2013
Europe,Spain,Household,Offline,L,213487374,4513,668.27,502.54,3015902.51,2267963.02,747939.49,21-10-2012,30-11-2012
Middle East and North Africa,Lebanon,Clothes,Online,L,663110148,7884,109.28,35.84,861563.52,282562.56,579000.96,18-09-2012,10-08-2012
Middle East and North Africa,Iran,Cosmetics,Online,H,286959302,6489,437.2,263.33,2836990.8,1708748.37,1128242.43,15-11-2016,12-08-2016
Sub-Saharan Africa,Zambia,Snacks,Online,L,122583663,4085,152.58,97.44,623289.3,398042.4,225246.9,04-01-2011,01-05-2011
Sub-Saharan Africa,Kenya,Vegetables,Online,L,827844560,6457,154.06,90.93,994765.42,587135.01,407630.41,18-03-2012,04-07-2012
North America,Mexico,Personal Care,Offline,L,430915820,6422,81.73,56.67,524870.06,363934.74,160935.32,17-02-2012,20-03-2012
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,180283772,8829,47.45,31.79,418936.05,280673.91,138262.14,16-01-2011,21-01-2011
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,494747245,5559,255.28,159.42,1419101.52,886215.78,532885.74,03-02-2014,20-03-2014
Middle East and North Africa,Kuwait,Fruits,Online,M,513417565,522,9.33,6.92,4870.26,3612.24,1258.02,30-04-2012,18-05-2012
Europe,Slovenia,Beverages,Offline,C,345718562,4660,47.45,31.79,221117,148141.4,72975.6,23-10-2016,25-11-2016
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,621386563,948,651.21,524.96,617347.08,497662.08,119685,06-12-2016,14-12-2016
Australia and Oceania,Australia,Beverages,Offline,H,240470397,9389,47.45,31.79,445508.05,298476.31,147031.74,07-07-2014,07-11-2014
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,423331391,2021,651.21,524.96,1316095.41,1060944.16,255151.25,13-06-2012,24-07-2012
Europe,Romania,Cosmetics,Online,H,660643374,7910,437.2,263.33,3458252,2082940.3,1375311.7,26-11-2010,25-12-2010
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,963392674,8156,47.45,31.79,387002.2,259279.24,127722.96,08-02-2011,21-03-2011
Sub-Saharan Africa,Mali,Clothes,Online,M,512878119,888,109.28,35.84,97040.64,31825.92,65214.72,26-07-2011,09-03-2011
Asia,Malaysia,Fruits,Offline,L,810711038,6267,9.33,6.92,58471.11,43367.64,15103.47,11-11-2011,28-12-2011
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,728815257,1485,154.06,90.93,228779.1,135031.05,93748.05,01-06-2016,29-06-2016
North America,Mexico,Personal Care,Offline,M,559427106,5767,81.73,56.67,471336.91,326815.89,144521.02,30-07-2015,08-08-2015
Sub-Saharan Africa,Mozambique,Household,Offline,L,665095412,5367,668.27,502.54,3586605.09,2697132.18,889472.91,10-02-2012,15-02-2012
